"country","iso","freedom","kinship","log_gdppc","log_pop","urban_pct","trade","internet","unemp","log_oilrent","log_gdppc_c"
"Afghanistan","AFG","Not Free",0.77869325876236,5.93400921970131,17.51875735573,25.3939250580909,72.8854696086536,17.1917,14.1,0.0177117229354415,-2.75537163427188
"Angola","AGO","Not Free",0.902841567993164,7.95889242019507,17.3888396727244,69.0506188977513,55.2547732713835,42.0719,14.602,3.37671477634035,-0.730488433778124
"Albania","ALB","Partly Free",0.74128669500351,8.67720965595076,14.7122661147737,57.8643477747383,84.6980435944865,82.6137,10.137,0.714019672624902,-0.0121711980224379
"Argentina","ARG","Free",0.260400414466858,9.49377517837597,17.6311967447748,92.112838186126,31.5801792606256,88.3754,6.805,0.933887904939187,0.804394324402773
"Armenia","ARM","Partly Free",0.503317952156067,8.47449544233489,14.9038031142255,65.5624462874485,103.878629213508,77.0277,13.379,0,-0.214885411638308
"Australia","AUS","Free",0.0815390199422836,11.0219099667808,17.074326875344,87.3343268253813,45.6946418805752,97.0424,3.728,0.234440598912552,2.33252911280758
"Austria","AUT","Free",0.0474708452820778,10.7649508372194,16.0173744680457,68.998085127906,123.579578652902,93.6141,4.992,0.0371067368341495,2.07556998324624
"Belgium","BEL","Free",0.0820950269699097,10.7029465329077,16.2734065146548,87.489200269855,191.179031303786,94.0078,5.57,0.0307945122078139,2.01356567893451
"Benin","BEN","Partly Free",0.993262648582458,7.10537315602497,16.437240125277,50.9627000010887,44.3815928877424,30.0134,1.685,0,-1.58400769794822
"Burkina Faso","BFA","Not Free",0.972275376319885,6.60706404639797,16.9294274754082,27.2791369742712,67.5202901331655,14.6238,5.389,0,-2.08231680757523
"Bangladesh","BGD","Partly Free",0.936245441436768,7.49795533274916,18.9476841803635,31.673734726234,33.7799672705735,41.6165,4.593,0.0310888821232267,-1.19142552122403
"Bulgaria","BGR","Free",0.503865599632263,9.16929626571443,15.6819285739425,73.4799164005224,138.844877241238,79.1269,4.268,0.0192070051334046,0.479915411741233
"Bahamas (the)","BHS","Free",1,10.379301068654,12.8930458059917,81.3200717047725,75.9829601059237,94.7326,9.272,0,1.68992021468077
