"iso","qog_country","country","kinship_score","source_status"
"ABW",NA,"Aruba",1,"Kinship only"
"AFG","Afghanistan","Afghanistan",0.77869325876236,"Matched in both"
"AGO","Angola","Angola",0.902841567993164,"Matched in both"
"AIA",NA,"Anguilla",1,"Kinship only"
"ALB","Albania","Albania",0.74128669500351,"Matched in both"
"AND","Andorra","Andorra",0,"Matched in both"
"ANT",NA,"Netherlands Antilles",1,"Kinship only"
"ARE","United Arab Emirates (the)",NA,NA,"QoG only"
"ARG","Argentina","Argentina",0.260400414466858,"Matched in both"
"ARM","Armenia","Armenia",0.503317952156067,"Matched in both"
"ASM",NA,"American Samoa",0.75,"Kinship only"
"ATG","Antigua and Barbuda","Antigua and Barbuda",1,"Matched in both"
"AUS","Australia","Australia",0.0815390199422836,"Matched in both"
"AUT","Austria","Austria",0.0474708452820778,"Matched in both"
"AZE","Azerbaijan",NA,NA,"QoG only"
"BDI","Burundi","Burundi",1,"Matched in both"
"BEL","Belgium","Belgium",0.0820950269699097,"Matched in both"
"BEN","Benin","Benin",0.993262648582458,"Matched in both"
"BFA","Burkina Faso","Burkina Faso",0.972275376319885,"Matched in both"
"BGD","Bangladesh","Bangladesh",0.936245441436768,"Matched in both"
"BGR","Bulgaria","Bulgaria",0.503865599632263,"Matched in both"
"BHR","Bahrain",NA,NA,"QoG only"
"BHS","Bahamas (the)","Bahamas",1,"Matched in both"
"BIH","Bosnia and Herzegovina","Bosnia and Herzegovina",0.998593032360077,"Matched in both"
"BLR","Belarus","Belarus",0.269800543785095,"Matched in both"
"BLZ","Belize","Belize",0.561718821525574,"Matched in both"
"BMU",NA,"Bermuda",0,"Kinship only"
"BOL","Bolivia (Plurinational State of)","Bolivia Plurinational State of",0.353639900684357,"Matched in both"
"BRA","Brazil","Brazil",0.106906943023205,"Matched in both"
"BRB","Barbados","Barbados",1,"Matched in both"
"BRN","Brunei Darussalam","Brunei Darussalam",0.464483141899109,"Matched in both"
"BTN","Bhutan","Bhutan",0.75,"Matched in both"
"BWA","Botswana","Botswana",0.860574126243591,"Matched in both"
"CAF","Central African Republic (the)","Central African Republic",0.941998958587646,"Matched in both"
"CAN","Canada","Canada",0.125686541199684,"Matched in both"
"CCK",NA,"Cocos (Keeling) Islands",0.5,"Kinship only"
"CHE","Switzerland","Switzerland",0,"Matched in both"
"CHL","Chile","Chile",0.399369955062866,"Matched in both"
"CHN","China","China",0.82772433757782,"Matched in both"
"CIV","Côte d'Ivoire","Cote d'Ivoire",0.958266496658325,"Matched in both"
"CMR","Cameroon","Cameroon",0.965590476989746,"Matched in both"
"COD","Congo (the Democratic Republic of the)","Congo the Democratic Republic of the",0.87935996055603,"Matched in both"
"COG","Congo (the)","Congo",0.802269697189331,"Matched in both"
"COK",NA,"Cook Islands",0.75,"Kinship only"
"COL","Colombia","Colombia",0.295448124408722,"Matched in both"
"COM","Comoros (the)",NA,NA,"QoG only"
"CPV","Cabo Verde","Cabo Verde",1,"Matched in both"
"CRI","Costa Rica","Costa Rica",0.229901701211929,"Matched in both"
"CUB","Cuba","Cuba",0.30086550116539,"Matched in both"
"CXR",NA,"Christmas Island",0.5,"Kinship only"
"CYM",NA,"Cayman Islands",0,"Kinship only"
"CYP","Cyprus","Cyprus",0.358374804258347,"Matched in both"
"CZE","Czechia","Czech Republic",0.496302098035812,"Matched in both"
"DEU","Germany","Germany",0.0140962321311235,"Matched in both"
"DJI","Djibouti","Djibouti",1,"Matched in both"
"DMA","Dominica","Dominica",1,"Matched in both"
"DNK","Denmark","Denmark",0.00364321586675942,"Matched in both"
"DOM","Dominican Republic (the)","Dominican Republic",0.327188193798065,"Matched in both"
"DZA","Algeria","Algeria",0.752612829208374,"Matched in both"
"ECU","Ecuador","Ecuador",0.249737650156021,"Matched in both"
