"variable","n_missing","pct_missing"
"psi_cpsi2",182,98.9
"psi_psi2",182,98.9
"mad_gdppc1300",179,97.3
"mad_gdppc1000",178,96.7
"mad_gdppc1400",176,95.7
"mad_gdppc1500",173,94
"eu_trinlw",169,91.8
"mad_gdppc1600",169,91.8
"mad_gdppc1700",167,90.8
"pei_eir_2",167,90.8
"eu_headenththab",166,90.2
"eu_headentnr",166,90.2
"eu_headentp",166,90.2
"eu_heanurshthab",166,90.2
"eu_heanursnr",166,90.2
"eu_heanursp",166,90.2
"dev_altv1",164,89.1
"dev_othv1",164,89.1
"dev_regv1",164,89.1
"dev_tv1",164,89.1
"eu_heamdochthab",164,89.1
"eu_heamdocnr",164,89.1
"eu_heamdocp",164,89.1
"eu_resnonpf",164,89.1
"evep_dembloc",164,89.1
"psi_cpsi1",164,89.1
"psi_psi1",164,89.1
"eu_heapharmhthab",163,88.6
"eu_heapharmnr",163,88.6
"eu_heapharmp",163,88.6
"mad_gdppc1800",163,88.6
"wwbi_fmwrprmedian",162,88
"br_monf",161,87.5
"cses_pc",161,87.5
"wwbi_fmwrprmean",161,87.5
"wwbi_fmwrpumean",161,87.5
"wwbi_fmwrpumedian",161,87.5
"wwbi_paycomppr",161,87.5
"wwbi_paycomppu",161,87.5
"cses_sd",160,87
"eu_imm118f",158,85.9
"eu_imm118m",158,85.9
"eu_imm118t",158,85.9
"eu_imm1824f",158,85.9
"eu_imm1824m",158,85.9
"eu_imm1824t",158,85.9
"eu_imm2534f",158,85.9
"eu_imm2534m",158,85.9
"eu_imm2534t",158,85.9
"eu_imm3564f",158,85.9
"eu_imm3564m",158,85.9
"eu_imm3564t",158,85.9
"eu_imm65f",158,85.9
"eu_imm65m",158,85.9
"eu_imm65t",158,85.9
"eu_trfrldnld",158,85.9
"wwbi_meanagepupe",158,85.9
"eu_heahbedlthabp",157,85.3
"eu_resallf",157,85.3
"eu_resbusf",157,85.3
"wwbi_sprpempn",157,85.3
"eu_reseduf",156,84.8
"eu_resgovf",156,84.8
"eu_resnonpt",156,84.8
"evep_altv",156,84.8
"evep_classbloc",156,84.8
"evep_othv",156,84.8
"evep_regv",156,84.8
"evep_tv",156,84.8
"ictd_taxres",156,84.8
"ideavt_eucv",156,84.8
"ideavt_euvt",156,84.8
"wwbi_sprpempp",156,84.8
